Epochs,Train 1Perceptual_Loss,Train 0.1latent_loss,Train Total Loss,Val 1Perceptual_Loss,Val 0.1latent_loss,Val Total Loss,Train SI_SDR,Val SI_SDR
82,0.02055278366280845,0.0043538225292827325,0.024906606215406184,0.01800333476966359,0.00562976789469907,0.023633102756604307,11.711001710146052,11.67853409735883
83,0.02008400216892832,0.004287666705052467,0.024371668880368458,0.017852172624482646,0.0046196347267921664,0.022471807294021377,11.8000528796056,11.673663923649189
84,0.02020146108560765,0.004347244080217409,0.02454870519712465,0.019192494108479043,0.00540497385873841,0.02459746800475026,11.835478294042893,11.569375006878962
85,0.019292482967004282,0.004240129462702632,0.023532612453660683,0.01775982535235543,0.004540916010317561,0.022300741375714053,12.1711034853272,12.119131796998404
86,0.01915456129261005,0.004211823303962768,0.023366384606793092,0.01790153612306372,0.004422795216112698,0.022324331420285455,12.24325769461068,12.171185021843415
87,0.019041533000634367,0.004179742215367338,0.023221275261992944,0.019258171342862923,0.0040082597797812865,0.023266431056166607,12.312584793289666,12.182299428950243
88,0.01901027658220958,0.004185122432664997,0.02319539900720937,0.017658006847719027,0.004928825264084127,0.02258683213088763,12.34075373648289,12.193545943400899
89,0.019020262959991954,0.004200094975135065,0.023220357962913392,0.020006829282380845,0.004292345213604572,0.024299174537017045,12.341838447481843,12.204267658171107
90,0.019024390743889518,0.004176939640894267,0.023201330402669265,0.017545805231266007,0.004799833015508217,0.022345638220692104,12.42397167718623,12.294326068273659
91,0.01886940685922308,0.004236545735671196,0.023105952568066055,0.01723562128322779,0.006078288276537317,0.02331390964182837,12.378337340099822,12.180191639342596
92,0.018892979202089405,0.004218683738404545,0.023111662946242853,0.018360959421945076,0.004506602897970362,0.022867562368898933,12.428189394732398,12.210790840003009
93,0.0187990832946101,0.004202426465187319,0.02300150977480845,0.017599921154438473,0.005063691916315729,0.02266361317062964,12.413539408983354,12.297883317770202
94,0.018593485579558932,0.004192025882009269,0.022785511459332518,0.01805559340915312,0.004636993440239603,0.022692586908554607,12.413102491729381,12.265942065442195
95,0.018923481912269106,0.004251625939158643,0.02317510787729782,0.01816966452335562,0.004348710069593164,0.022518374646703403,12.445104389687788,12.220509654185811
96,0.018611597990813897,0.004171344967410786,0.022782942995592564,0.016725111030082885,0.0052709350721208284,0.021996046162001747,12.44714463591085,12.35534457951947
97,0.01847245829596359,0.004164509565297346,0.0226369678989482,0.01678267850851019,0.005133174522016503,0.021915853066787207,12.491438588978331,12.323117808566067
98,0.018741697009106068,0.0041561108143215765,0.02289780783779991,0.017147913193482845,0.0045686904188306605,0.02171660359704592,12.477658421577903,12.297308887940288
99,0.01872936499385554,0.004154713612320655,0.02288407863555949,0.015780562723228513,0.00519267623656292,0.02097323899223505,12.47650921262995,12.337962861920966
100,0.018692326517354068,0.004165118058443335,0.022857444593363502,0.017754122887132434,0.004445292257902319,0.022199415115771885,12.547198311291604,12.301021925087184
